file,id_sente,id_article,domain,year,sentences,classe
C95_Estadao_10-09-2022_07h25,5856,c95e,politics,2022,"A queda ocorreu mesmo com os alimentos puxando a corda no sentido contrário; juntas, alimentação e bebidas subiram 1,3% no mês.",1
C96_Estadao_18-10-2022_20h41,5944,c96e,politics,2022,"A repercussão negativa do caso fez Bolsonaro, candidato à reeleição, gravar uma declaração para se desculpar.",0
C27_Estadao_18-10-2007_00h04,1044,c27e,sports,2007,"O Brasil lavou a alma após o decepcionante empate com a Colômbia no último domingo e, nesta quarta-feira, aplicou uma sonora goleada por 5 a 0 sobre o Equador no Maracanã.",1
C50_Folha_06-11-2007_12h57,2483,c50f,politics,2007,"Ao final do encontro, os senadores tucanos disseram que esperam que o governo apresente uma contraproposta nas próximas horas.",0
C94_OGlobo_18-10-2022_18h30,5838,c94o,politics,2022,"Fizemos o compromisso com os líderes da base hoje e com os líderes da oposição, vamos sentar para dialogar sobre o texto de mérito desse projeto.",-1
C6_OGlobo_23-09-2022_16h19,3137,c6o,politics,2022,"É preciso ressaltar que este ano temos um problema a mais para provocar a abstenção, que é o clima violento da militância.",1
C77_Estadao_18-10-2022_10h07,4584,c77e,politics,2022,"A Defesa conduziu durante o primeiro turno das eleições deste ano uma espécie de ""apuração paralela"" em 462 seções eleitorais espalhadas pelo País.",0
C25_OGlobo_31-12-2021_21h56,942,c25o,culture,2021,"A obra também foi, de certa forma, um amparo para a escritora superar um trauma: a morte de um dos filhos, que em 2017 sofreu uma parada cardíaca enquanto surfava.",1
C33_Estadao_25-09-2007_10h51,1398,c33e,politics,2007,"""Podem gerar emprego, renda e favorecer a agricultura familiar"".",-1
C12_OGlobo_14-08-2006_10h39,180,c12o,world,2006,"Segundo a agência norte-coreana, ""as principais ferrovias, estradas e pontes estão bloqueadas, e o fornecimento de eletricidade e as telecomunicações foram suspensos"", situação que atingiu principalmente a província de Gangwon (sul).",0
C68_Folha_16-10-2022_10h48,3833,c68f,world,2022,"""Aderimos à supremacia do povo e da vida, e com a dinâmica de Covid zero alcançamos grandes resultados na prevenção da epidemia e no desenvolvimento econômico e social.",-1
C27_Folha_17-10-2007_23h53,1080,c27f,sports,2007,"No momento em que algumas vaias foram ouvidas no Maracanã, a equipe passou a jogar melhor.",1
C25_OGlobo_31-12-2021_21h56,972,c25o,culture,2021,"Morreu nesta quinta-feira (30), em Porto Alegre, a escritora Lya Luft, aos 83 anos, uma das autoras mais influentes da literatura brasileira.",1
C99_OGlobo_19-10-2022_20h30,6184,c99o,politics,2022,"Posso lhes assegurar, portanto, que meu governo não adotará quaisquer atitudes que firam a liberdade de culto e de pregação ou criem obstáculos ao livre funcionamento dos templos.",-1
C35_Folha_22-09-2022_16h54,1569,c35f,world,2022,Esse tabu está agora enfraquecido.,1
C57_Folha_06-10-2022_05h12,2938,c57f,world,2022,"Em um dos massacres mais mortais da história da Tailândia, um ex-policial matou 37 pessoas, incluindo 24 crianças de dois a cinco anos -a maioria a facadas- ao invadir uma creche no nordeste do país.",1
C68_Estadao_16-10-2022_11h22,3817,c68e,world,2022,"Ainda sobre Hong Kong, ele defendeu sua repressão a um movimento pró-democracia na região, dizendo que o partido ajudou a ex-colônia britânica a entrar em um novo estágio no qual restaurou a ordem e está pronto para prosperar.",0
C51_OGlobo_08-09-2022_14h31_titulo,2575,c51o,world,2022,"Rainha Elizabeth II,",0
C35_Folha_22-09-2022_16h54,1566,c35f,world,2022,"Elas são desenhadas para não matar (embora eventualmente o façam) e, por isso, acabam sendo usadas pelas polícias com liberalidade.",1
C74_Folha_17-10-2022_15h10,4358,c74f,politics,2022,"""Tivemos os nossos princípios, vindos dos nossos pais.",-1
C96_Estadao_18-10-2022_20h41,5939,c96e,politics,2022,", entrei"", relatou o presidente.",-1
C38_OGlobo_28-07-2007_00h00,1712,c38o,sports,2007,"Em Winnipeg, 1999, e Santo Domingo, 2003, o atletismo tinha conseguido 16 medalhas.",0
C81_Estadao_07-10-2022_08h48,4865,c81e,culture,2022,"como as outras obras da autora, é a um tempo o lugar do pai, o espaço da infância, e o ponto de partida para a vida madura, com a alegria da partida e as angústias da separação.",-1
C77_OGlobo_18-10-2022_09h21_titulo,4638,c77o,politics,2022,"Pela decisão, prazo é de 48 horas; Bolsonaro terá 5 dias para apresentar defesa.",0
C20_OGlobo_19-09-2007_16h13_titulo,680,c20o,politics,2007,"Disse, porém, esperar aprovação da CPMF no plenário da Câmara até esta quinta-feira.",0
C84_OGlobo_18-10-2007_16h53,5145,c84o,politics,2007,"Isso porque os partidos não tem bandeiras, camisas.",-1
C57_Estadao_06-10-2022_14h34,2909,c57e,world,2022,"BANGCOC - No pior massacre cometido por um atirador na história da Tailândia, um ex-policial matou 37 pessoas, incluindo 23 crianças de dois e três anos - a maioria, a facadas- em um ataque a uma creche no nordeste do país.",1
C93_Estadao_15-12-2006_14h59,5597,c93e,politics,2006,"""É um acinte o que foi feito em relação ao País"", reagiu o deputado estadual Raul Pont (PT), habitual crítico do efeito cascata dos reajustes.",-1
C89_Estadao_31-10-2007_15h02_titulo,5374,c89e,politics,2007,"Ronaldo Cunha Lima é acusado de assassinar inimigo político e, com a renúncia, perde o foro privilegiado.",0
C6_OGlobo_23-09-2022_16h19,3138,c6o,politics,2022,"E quanto mais pessoas de baixa renda forem votar, melhor para ele.",1
C49_Estadao_16-07-2007_07h53,2353,c49e,politics,2007,"Segundo um assessor de Lula, ele teria classificado a manifestação como ""molecagem"", e , muito irritado, teria dito:",1
C53_OGlobo_19-09-2022_08h56,2683,c53o,politics,2022,"Depois, 50. 52.",-1
C54_OGlobo_28-09-2022_07h28_titulo,2756,c54o,politics,2022,Lula aparece em 1º lugar nas pesquisas.,0
C72_Folha_17-10-2022_01h28,4164,c72f,politics,2022,"Em 2006, ele criticou o governo Lula por promover ""sistemática campanha de desmoralização das Forças Armadas e de seus integrantes"".",-1
C69_Estadao_15-10-2022_23h31,3906,c69e,politics,2022,"Se uma emissora, efetivamente, direciona sua programação para reverberar fake news que atacam adversários de um candidato e a integridade do processo eleitoral, é necessário avaliar os impactos dessa conduta sobre a normalidade eleitoral""",-1
C54_Estadao_28-09-2022_01h10_titulo,2713,c54e,politics,2022,"Ex-ministro do Supremo Tribunal Federal entra para o rol de ex-integrantes da Corte que manifestaram voto no petista, ao lado de Joaquim Barbosa;",0
C15_Folha_20-09-2022_19h44_titulo,291,c15f,politics,2022,Presidente apequena imagem do Brasil com repetidas desinformações e não recebe atenção dos líderes globais,1
C20_Folha_19-09-2007_13h39,645,c20f,politics,2007,"No entanto, deputados de oposição tentam obstruir a votação para adiar a aprovação da prorrogação da PEC da CPMF.",1
C81_Folha_06-10-2022_15h58,4937,c81f,culture,2022,"Uma mulher na menopausa que busca ativamente, e obtém, o gozo.",1
C9_Estadao_04-08-2006_09h53,3273,c9e,politics,2006,A PF abriu uma nova frente de atuação para apurar o caso com o objetivo de apurar a participação de desembargadores e conselheiros do Tribunal de Contas na quadrilha.,0
C97_Estadao_18-10-2022_11h50,6010,c97e,politics,2022,A Procuradoria já fechou uma série de termos de ajustamento de conduta e entrou com ações por assédio eleitoral neste pleito.,0
C50_Folha_06-11-2007_12h57,2487,c50f,politics,2007,"Isso é nitidamente insuficiente para convencer o PSDB"", afirmou o líder do partido no Senado, Arthur Virgílio (AM).",-1
C4_Oglobo_16-07-2007-19h15,1850,c4o,daily,2007,"Em julho do ano passado, a média foi de 36 km no horário.",0
C49_OGlobo_16-07-2007_11h54,2384,c49o,politics,2007,"Mas Lula disse que não quer explicações: a mim, não me interessa o que aconteceu.",-1
C97_Folha_18-10-2022_20h42,6022,c97f,politics,2022,"""Houve uma banalização mesmo.",-1
C75_Folha_17-10-2022_15h04_titulo,4492,c75f,politics,2022,"Falar em atentado contra Tarcísio é prematuro, e câmeras irão esclarecer, diz secretário de SP.",-1
