file,id_sente,id_article,domain,year,sentences,classe
C7_Folha_04-08-2006_12h02,3229,c7f,science,2006,"""Sua mera existência é uma surpresa e sua origem e seu futuro são um mistério"", declarou.",-1
C22_Folha_24-07-2007,767,c22f,daily,2007,"Segundo ele, a companhia não pagaria hotel em São Paulo e não faria o reembolso da passagem aérea:",0
C86_OGlobo_13-04-2007_10h04_titulo,5268,c86o,politics,2007,PF prende 25 suspeitos em lavagem de dinheiro,0
C84_OGlobo_18-10-2007_16h53,5146,c84o,politics,2007,"Não havia regra e agora temos regras rígidas de mais, acho que devíamos ter uma transição - disse Múcio.",-1
C49_Estadao_16-07-2007_07h53,2353,c49e,politics,2007,"Segundo um assessor de Lula, ele teria classificado a manifestação como ""molecagem"", e , muito irritado, teria dito:",1
C89_Estadao_31-10-2007_15h02,5358,c89e,politics,2007,"""Quero ser julgado sem prerrogativa de foro, como um igual que sempre fui"", afirmou.",-1
C21_OGlobo_06-08-2007_16h23,705,c21o,daily,2007,"A assessoria de imprensa da Infraero em Cumbica informou apenas que as obras da pista de 3,7 km não começam nesta segunda-feira (6), mesma data em que toma posse em Brasília o novo presidente da estatal, Sérgio Gaudenzi.",0
C65_Estadao_14-10-2022_11h56,3585,c65e,culture,2022,"As duas pessoas foram presas por danos criminais e invasão agravada"", disse a polícia no Twitter.",-1
C67_Folha_15-10-2022_12h24,3792,c67f,politics,2022,Vou compartilhar meu posicionamento no 2º turno deste ano e a lógica da decisão.,-1
C33_OGlobo_25-09-2007_19h59,1464,c33o,politics,2007,"Até porque o Brasil não abdica, em nenhuma hipótese, de sua soberania nem de suas responsabilidades na Amazônia.",0
C87_Folha_25-07-2007_12h59,5292,c87f,politics,2007,"Jobim aceitou o convite de Lula e assume o cargo às 16h de hoje, no Palácio do Planalto.",0
C98_Folha_19-10-2022_18h19,6122,c98f,politics,2022,"No resultado final do primeiro turno, Lula teve 48,4% e Bolsonaro, 43,2%.",0
C89_OGlobo_31-10-2007_14h42,5420,c89o,politics,2007,"O relator do processo, a ação penal 333, era até então o ministro Joaquim Barbosa, o mesmo que relatou o inquérito do mensalão.",0
C30_Estadao_07-08-2007_07h59,1286,c30e,daily,2007,"Se considerados bancos públicos e privados, o maior lucro entre janeiro e junho dos últimos 20 anos pertence ao Banco do Brasil que em 2006 informou receita de R$ 4,032 bilhões (valor ajustado pelo IPCA até 30 de junho de 2007).",0
C11_OGlobo_07-08-2006_08h29,144,c11o,daily,2006,"Uma bomba caseira foi jogada contra o prédio do Ministério Público, na capital do estado.",0
C93_OGlobo_14-12-2006_14h15,5734,c93o,politics,2006,"No Senado, além dos salários, os parlamentares têm a verba indenizatória de R$ 15 mil, auxilio-moradia de R$ 3,8 mil, 11 funcionários comissionados, com um total de R$ 72 mil em salários, 25 litros de combustível por dia com motorista, além de passagens aéreas.",0
C48_OGlobo_25-09-2022_18h05,2333,c48o,world,2022,"Se os resultados se confirmarem, o país está a caminho de ter uma primeira-ministra de extrema direita, Giorgia Meloni.",0
C57_Estadao_06-10-2022_14h34,2924,c57e,world,2022,"Testemunhas descreveram uma cena de terror dentro do Centro de Desenvolvimento Infantil Uthaisawan, quando o agressor atirou e esfaqueou mais de 20 crianças, algumas com apenas 2 anos, e esfaqueou fatalmente uma professora grávida de oito meses.",0
C93_Estadao_15-12-2006_14h59,5602,c93e,politics,2006,"A Assembléia Legislativa do Espírito Santo divulgou nota informando que o presidente da Casa, César Colnago (PSDB), e os outros membros da mesa diretora não pretendem apresentar projeto propondo o aumento dos salários dos deputados estaduais capixabas a partir do reajuste de 91% definido pelo Senado e Câmara dos Deputados.",0
C58_Estadao_15-09-2022_05h00,2968,c58e,politics,2022,"Em comunicados para o Ministério da Economia, a equipe falava em negociar para reverter ou reduzir os impactos da redução antes do envio do projeto de Orçamento do ano que vem ao Congresso.",0
C48_Estadao_25-09-2022_11h11,2244,c48e,world,2022,"A direita italiana relegou o fascismo à um capítulo antigo da história, condenando sem ambiguidades a privação da democracia e as infames leis que perseguiam judeus?, disse Meloni em um vídeo divulgado em diferentes idiomas aos meios de comunicação estrangeiros.",-1
C60_Estadao_07-10-2022_08h43,3157,c60e,world,2022,"O texto ainda afirma que os governos estão ""preocupados com a deterioração significativa da situação dos direitos humanos na Federação Russa, em particular as severas restrições aos direitos às liberdades de opinião e expressão, reunião e associação pacífica, tanto on-line quanto off-line, resultando em ações sistemáticas de repressão contra organizações da sociedade civil, defensores dos direitos humanos, especialmente mulheres defensoras dos direitos humanos, que enfrentam ameaças específicas baseadas em gênero, mídia independente, jornalistas, trabalhadores da mídia, advogados e oposição política pelas autoridades russas, e a matança extrajudicial de críticos do governo"".",-1
C89_Folha_01-11-2007_00h00,5397,c89f,politics,2007,"Nárcio, após ler o documento, elogiou o colega.",0
C86_Folha_13-04-2007_10h40,5238,c86f,politics,2007,"Antes, ele havia sido juiz em Minas, juiz-substituto do Trabalho da 3ª Região, procurador da República e juiz federal.",0
C80_Estadao_18-10-2022_08h13,4786,c80e,sports,2022,"Os dois prêmios estiveram unificados entre 2010 e 2015, mas desde o ano seguinte estão caminhando separadamente.",0
C29_Folha_26-11-2021_16h11_titulo,1203,c29f,science,2021,Ômicron é nome da nova variante identificada na África do Sul.,0
C72_Folha_17-10-2022_01h28,4137,c72f,politics,2022,"""Eu era o único presidente do Brasil, da história do Brasil, convidado para todas as reuniões do G8"".",-1
